ms_nr,bundesland,behoerde,kreis,bez,ags,latitude,longitude,pct_data_1990_2021,breakpoint_drop,trend_normalized,trend_bin,trend_raw,range,p_value,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021_x,messstellen_insgesamt,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y,2021_y
bb-25500006,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.42249532052164,14.144715073252858,0.9973958333333334,,0.4976655594581,kein starker Trend,0.0061959362152534,1.245,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-26500002,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.38089081298534,14.145564063904011,0.9869791666666666,,0.20035075517521,kein starker Trend,0.0041422518632476,2.0675,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-27452330,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.21825176375171,13.31807563711642,1.0,,-0.86925507502205,leicht sinkend,-0.0043535191674021,0.50083333333334,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-27460295,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.23298582777877,13.38164181722906,1.0,,1.80264979982314,stark steigend,0.0096892426740492,0.537499999999994,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-27511009,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.215186061854304,14.208528648356946,0.9869791666666666,,-0.32055987669459,kein starker Trend,-0.0031094308039376,0.970000000000002,3.06887232e-08,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-28500636,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.11789796186456,14.015113585452898,0.9661458333333334,,-0.11527941222025,kein starker Trend,-0.0009539371361226,0.827500000000001,0.068529108368934,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-28500652,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.181054176367205,14.139904041957,0.9895833333333334,,-1.10781181248489,stark sinkend,-0.0085578462514458,0.772500000000001,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-28501101,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.14262562485943,14.114343896045424,0.9947916666666666,,-1.1607287573375,stark sinkend,-0.0082701923960296,0.712499999999999,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-28501105,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.16270130610455,14.10142609300276,0.9713541666666666,,-0.0523995044684599,kein starker Trend,-0.0005777045367648,1.1025,0.240461558883482,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
bb-28501108,Brandenburg,bb,Uckermark,Landkreis,12073.0,53.16659393112335,14.095510774658822,0.9713541666666666,,0.11836400760761,kein starker Trend,0.0013730224882483,1.16,0.0050509755755859,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,17.0,6.0,54,9.760655737704916,9.50082191780822,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
